Epoch,Loss
0,2.074706792831421
1,1.7217862606048584
2,1.626359462738037
3,1.5916855335235596
4,1.5642204284667969
5,1.5142176151275635
6,1.4644098281860352
7,1.4244755506515503
8,1.387662410736084
9,1.341983675956726
10,1.306261420249939
11,1.2658988237380981
12,1.2440992593765259
13,1.2046310901641846
14,1.1827548742294312
15,1.1675196886062622
16,1.141435146331787
17,1.1280909776687622
18,1.1035336256027222
19,1.0885096788406372
20,1.0770082473754883
21,1.0662775039672852
22,1.0478994846343994
23,1.0371872186660767
24,1.0339570045471191
25,1.0161190032958984
26,1.0183238983154297
27,0.9936646223068237
28,0.9958660006523132
29,0.9936347007751465
30,0.9793999195098877
31,0.9463651776313782
32,0.9159557819366455
33,0.9097871780395508
34,0.9027838706970215
35,0.8968636393547058
36,0.896870493888855
37,0.8958719372749329
38,0.8892541527748108
39,0.8876937031745911
40,0.8782763481140137
41,0.883287787437439
42,0.8682988286018372
43,0.870490312576294
44,0.8739210963249207
45,0.8604424595832825
46,0.8640203475952148
47,0.8557504415512085
48,0.8588518500328064
49,0.8590367436408997
